handle,tiktok_url,tier,music_policy,youtube_manager_email,meta_manager_email,creator_email,last_run_date,onboarding_notes
agency_creator_001,https://www.tiktok.com/@agency_creator_001,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator001@agency-demo.test,2026-06-01,"Agency demo roster"
agency_creator_002,https://www.tiktok.com/@agency_creator_002,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator002@agency-demo.test,2026-06-02,"Agency demo roster"
agency_creator_003,https://www.tiktok.com/@agency_creator_003,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator003@agency-demo.test,2026-06-03,"Agency demo roster"
agency_creator_004,https://www.tiktok.com/@agency_creator_004,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator004@agency-demo.test,2026-06-04,"Agency demo roster"
agency_creator_005,https://www.tiktok.com/@agency_creator_005,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator005@agency-demo.test,2026-06-05,"Agency demo roster"
agency_creator_006,https://www.tiktok.com/@agency_creator_006,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator006@agency-demo.test,2026-06-06,"Agency demo roster"
agency_creator_007,https://www.tiktok.com/@agency_creator_007,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator007@agency-demo.test,2026-06-07,"Agency demo roster"
agency_creator_008,https://www.tiktok.com/@agency_creator_008,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator008@agency-demo.test,2026-06-08,"Agency demo roster"
agency_creator_009,https://www.tiktok.com/@agency_creator_009,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator009@agency-demo.test,2026-06-09,"Agency demo roster"
agency_creator_010,https://www.tiktok.com/@agency_creator_010,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator010@agency-demo.test,2026-06-10,"Agency demo roster"
agency_creator_011,https://www.tiktok.com/@agency_creator_011,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator011@agency-demo.test,2026-06-11,"Agency demo roster"
agency_creator_012,https://www.tiktok.com/@agency_creator_012,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator012@agency-demo.test,2026-06-12,"Agency demo roster"
agency_creator_013,https://www.tiktok.com/@agency_creator_013,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator013@agency-demo.test,2026-06-13,"Agency demo roster"
agency_creator_014,https://www.tiktok.com/@agency_creator_014,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator014@agency-demo.test,2026-06-14,"Agency demo roster"
agency_creator_015,https://www.tiktok.com/@agency_creator_015,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator015@agency-demo.test,2026-06-15,"Agency demo roster"
agency_creator_016,https://www.tiktok.com/@agency_creator_016,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator016@agency-demo.test,2026-06-16,"Agency demo roster"
agency_creator_017,https://www.tiktok.com/@agency_creator_017,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator017@agency-demo.test,2026-06-17,"Agency demo roster"
agency_creator_018,https://www.tiktok.com/@agency_creator_018,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator018@agency-demo.test,2026-06-18,"Agency demo roster"
agency_creator_019,https://www.tiktok.com/@agency_creator_019,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator019@agency-demo.test,2026-06-19,"Agency demo roster"
agency_creator_020,https://www.tiktok.com/@agency_creator_020,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator020@agency-demo.test,2026-06-20,"Agency demo roster"
agency_creator_021,https://www.tiktok.com/@agency_creator_021,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator021@agency-demo.test,2026-06-21,"Agency demo roster"
agency_creator_022,https://www.tiktok.com/@agency_creator_022,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator022@agency-demo.test,2026-06-22,"Agency demo roster"
agency_creator_023,https://www.tiktok.com/@agency_creator_023,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator023@agency-demo.test,2026-06-23,"Agency demo roster"
agency_creator_024,https://www.tiktok.com/@agency_creator_024,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator024@agency-demo.test,2026-06-24,"Agency demo roster"
agency_creator_025,https://www.tiktok.com/@agency_creator_025,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator025@agency-demo.test,2026-06-25,"Agency demo roster"
agency_creator_026,https://www.tiktok.com/@agency_creator_026,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator026@agency-demo.test,2026-06-26,"Agency demo roster"
agency_creator_027,https://www.tiktok.com/@agency_creator_027,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator027@agency-demo.test,2026-06-27,"Agency demo roster"
agency_creator_028,https://www.tiktok.com/@agency_creator_028,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator028@agency-demo.test,2026-06-28,"Agency demo roster"
agency_creator_029,https://www.tiktok.com/@agency_creator_029,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator029@agency-demo.test,2026-06-29,"Agency demo roster"
agency_creator_030,https://www.tiktok.com/@agency_creator_030,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator030@agency-demo.test,2026-06-30,"Agency demo roster"
agency_creator_031,https://www.tiktok.com/@agency_creator_031,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator031@agency-demo.test,2026-06-01,"Agency demo roster"
agency_creator_032,https://www.tiktok.com/@agency_creator_032,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator032@agency-demo.test,2026-06-02,"Agency demo roster"
agency_creator_033,https://www.tiktok.com/@agency_creator_033,lite,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator033@agency-demo.test,2026-06-03,"Agency demo roster"
agency_creator_034,https://www.tiktok.com/@agency_creator_034,standard,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator034@agency-demo.test,2026-06-04,"Agency demo roster"
agency_creator_035,https://www.tiktok.com/@agency_creator_035,lite,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator035@agency-demo.test,2026-06-05,"Agency demo roster"
agency_creator_036,https://www.tiktok.com/@agency_creator_036,standard,creator_export,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator036@agency-demo.test,2026-06-06,"Agency demo roster"
agency_creator_037,https://www.tiktok.com/@agency_creator_037,lite,skip,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator037@agency-demo.test,2026-06-07,"Agency demo roster"
agency_creator_038,https://www.tiktok.com/@agency_creator_038,standard,replace,yt-ops@agency-demo.test,meta-ops@agency-demo.test,creator038@agency-demo.test,2026-06-08,"Agency demo roster"
